Company,Product,Label,PeakPerformance,Precision,Power,Technology,IorT,FormFactor,PlotLocation,Hide,PlotLocationZ,HideZ,Updated,Notes,ReferenceURL,Reference
Google,TPU1,TPU1,9.20E+13,int8,75,tensor,inference,Chip,NW,,SE,,6/1/21,,https://doi.org/10.1145/3360307;https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/,jouppi2020domain;teich2018tearing
Google,TPU2,TPU2,4.50E+13,bf16.32,280,tensor,training,Chip,SE,,SE,,6/1/21,,https://doi.org/10.1145/3360307;https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/,jouppi2020domain;teich2018tearing
Google,TPU3,TPU3,1.23E+14,bf16.32,450,tensor,training,Chip,SE,,SE,,6/9/21,,https://doi.org/10.1145/3360307;https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/,jouppi2021ten;jouppi2020domain;teich2018tearing
Google,TPU4i,TPU4i,1.38E+14,bf16.32,175,tensor,training,Chip,NE,,NE,,6/9/21,,https://doi.org/10.1109/ISCA52012.2021.00010,jouppi2021ten
Google,TPU4,TPU4,2.75E+14,bf16.32,192,tensor,training,Chip,NE,,NE,,7/10/22,,﻿https://www.hpcwire.com/2022/05/16/google-clouds-new-tpu-v4-ml-hub-packs-9-exaflops-of-ai/,peckham2022google
GraphCore,C2,GraphCore,1.25E+14,fp16.32,300,CGRA,training,Card,NE,,NE,,6/14/20,,https://www.linleygroup.com/newsletters/newsletter_detail.php?num=5992;https://www.graphcore.ai/posts/preliminary-ipu-benchmarks-providing-previously-unseen-performance-for-a-range-of-machine-learning-applications,gwennap2020groq;lacey2017preliminary
GraphCore,C2,GraphCoreNode,1.60E+15,fp16.32,2400,CGRA,training,System,SW,,SW,,6/14/20,,https://www.graphcore.ai/hubfs/Lead%20gen%20assets/DSS8440%20IPU%20Server%20White%20Paper_2020.pdf,graphcore2020dell
GraphCore,Colossus Mk2,GraphCore2,2.50E+14,bf16,300,CGRA,training,Card,SW,,NW,,7/10/22,,https://www.eetimes.com/graphcore-takes-on-nvidia-with-second-gen-ai-accelerator/,ward2020graphcore
GraphCore,Bow-2000,GraphCoreBow,3.50E+14,bf16,300,CGRA,training,Card,NE,,NE,,7/10/22,,https://www.tomshardware.com/news/graphcore-tsmc-bow-ipu-3d-wafer-on-wafer-processor,tyson2022graphcore
GreenWaves,GAP8,GAP8,2.27E+10,int8,0.10,dataflow,inference,Chip,NE,,NE,,7/12/21,,https://greenwaves-technologies.com/gap8_gap9/;https://www.eejournal.com/article/gap9-for-ml-at-the-edge/,greenwaves2020gap;turley2020gap9
GreenWaves,GAP9,GAP9,1.51E+11,int8,0.64,dataflow,inference,Chip,NE,,NE,,7/12/21,,https://greenwaves-technologies.com/gap8_gap9/;https://www.eejournal.com/article/gap9-for-ml-at-the-edge/,greenwaves2020gap;turley2020gap9
Groq,Groq Node,GroqNode,1.50E+15,fp16.32,3300,tensor,training,System,SE,,SE,,7/6/21,,https://www.nextplatform.com/2020/09/29/groq-shares-recipe-for-tsp-nodes-systems/,hemsoth2020groq
Groq,Groq Node,GroqNode,6.00E+15,int8,3300,tensor,inference,System,SW,,SW,,7/6/21,,https://www.nextplatform.com/2020/09/29/groq-shares-recipe-for-tsp-nodes-systems/,hemsoth2020groq
Groq,Tensor Streaming Processor,Groq,2.05E+14,fp16,300,tensor,training,Card,SE,,NW,,5/19/20,,http://groq.com/wp-content/uploads/2020/04/Groq-Rocks-NNs-Linley-Group-MPR-2020Jan06.pdf;https://doi.org/10.1109/ISCA45697.2020.00023,gwennap2020groq;abts2020think
Groq,Tensor Streaming Processor,Groq,8.20E+14,int8,300,tensor,inference,Card,SE,,SE,,5/19/20,,http://groq.com/wp-content/uploads/2020/04/Groq-Rocks-NNs-Linley-Group-MPR-2020Jan06.pdf;https://doi.org/10.1109/ISCA45697.2020.00023,gwennap2020groq;abts2020think
Gyrfalcon,Gyrfalcon,Gyrfalcon,2.80E+12,int8,0.224,PIM,inference,Chip,NW,,NW,,6/14/20,,https://www.eetimes.com/gyrfalcon-unveils-fourth-ai-accelerator-chip/,ward2019gyrfalcon
Gyrfalcon,Gyrfalcon,GyrfalconServer,2.15E+15,int8,900,PIM,inference,System,NW,,NE,,6/14/20,,https://www.hpcwire.com/off-the-wire/solidrun-gyrfalcon-develop-edge-optimized-ai-inference-server/,hpcwire2020solidrun
Habana,Gaudi,Gaudi,5.00E+13,fp16,200,tensor,training,Card,SW,,SW,,6/14/20,8 VLIW cores with MMA unit,https://habana.ai/wp-content/uploads/2019/06/Habana-Offers-Gaudi-for-AI-Training.pdf;https://doi.org/10.1109/MM.2020.2975185,gwennap2019habanagaudi;medina2020habana
Habana,Goya HL-1000,Goya,1.00E+14,int8,150,tensor,inference,Card,SE,,SE,,6/14/20,8 VLIW cores with MMA unit,https://habana.ai/wp-content/uploads/2019/06/Habana-Offers-Gaudi-for-AI-Training.pdf;https://doi.org/10.1109/MM.2020.2975185;https://www.linleygroup.com/mpr/article.php?id=12103,gwennap2019habanagoya;medina2020habana;gwennap2019habana
Habana,Gaudi2,Gaudi2,,,650,tensor,inference,Card,SE,Skip,SE,Skip,7/9/22,,https://www.nextplatform.com/2022/05/10/intel-pits-new-gaudi2-ai-training-engine-against-nvidia-gpus/,peckham2022intel;morgan2022intel
Habana,Greco,Greco,,,75,tensor,inference,Card,SE,Skip,SE,Skip,7/9/22,,https://www.nextplatform.com/2022/05/10/intel-pits-new-gaudi2-ai-training-engine-against-nvidia-gpus/,peckham2022intel;morgan2022intel
Hailo,Hailo-8,Hailo-8,2.688E+12,int8,9.3,dataflow,inference,Chip,SE,,SW,,6/14/20,no peak,https://www.eetimes.com/details-of-hailo-ai-edge-accelerator-emerge/,ward2019details
Hailo,Hailo-15H,Hailo-15,2.00E+13,int8,2,dataflow,inference,Chip,SW,,SE,,7/31/23,,https://www.eetimes.com/hailo-adds-vision-processor-socs-for-smart-cameras/,ward2023hailo
Horizon Robotics,Journey2,Journey2,4.00E+12,int8,2,dataflow,inference,Chip,N,,N,,6/13/20,,https://en.horizon.ai/product/journey,horizon2020journey
Huawei HiSilicon,Ascend 310,Ascend-310,8.00E+12,fp16,8,tensor,training,Chip,SW,Hide,SW,Hide,5/19/20,,https://e.huawei.com/us/products/cloud-computing-dc/atlas/ascend-310,huawei2020ascend310
Huawei HiSilicon,Ascend 310,Ascend-310,1.60E+13,int8,8,tensor,inference,Chip,SW,,SW,,5/19/20,,https://e.huawei.com/us/products/cloud-computing-dc/atlas/ascend-310,huawei2020ascend310
Huawei HiSilicon,Ascend 910,Ascend-910,5.12E+14,fp16,310,tensor,training,Chip,NW,,NE,,5/19/20,,https://e.huawei.com/us/products/cloud-computing-dc/atlas/ascend-910,huawei2020ascend910
Huawei HiSilicon,Ascend 910,Ascend-910,5.12E+14,int8,310,tensor,inference,Chip,NW,Hide,NW,Hide,5/19/20,,https://e.huawei.com/us/products/cloud-computing-dc/atlas/ascend-910,huawei2020ascend910
IBM,TrueNorth,TrueNorth,1.89E+12,int8,0.5,neuromorphic,inference,System,SW,Hide,SW,Hide,6/9/20,,https://www.top500.org/news/ibm-finds-killer-app-for-truenorth-neuromorphic-chip/;https://doi.org/10.1073/pnas.1604850113;https://doi.org/10.1109/TCAD.2015.2474396,﻿feldman2016ibm;esser2016convolutional;akopyan2015truenorth
IBM,TrueNorth,TrueNorthSys,1.89E+12,int8,44,neuromorphic,inference,System,SE,Hide,SE,Hide,6/9/20,,https://www.top500.org/news/ibm-finds-killer-app-for-truenorth-neuromorphic-chip/;https://doi.org/10.1073/pnas.1604850113;https://doi.org/10.1109/TCAD.2015.2474396,﻿feldman2016ibm;esser2016convolutional;akopyan2015truenorth
IBM/NYU,NeuFlow,NeuFlow,3.20E+11,int16,10,dataflow,inference,Chip,SE,Hide,SE,Hide,6/15/20,,https://doi.org/10.1109/CVPRW.2011.5981829,farabet2011neuflow
Institute for Computing Technology,DaDianNao,DaDianNao,5.59E+12,int16,15.97,dataflow,inference,Chip,SE,Hide,SE,Hide,6/9/20,,https://cacm.acm.org/magazines/2016/11/209123-diannao-family/;https://doi.org/10.1109/MICRO.2014.58,﻿chen2016diannao;chen2014dadiannao
Institute for Computing Technology,DianNao,DianNao,4.52E+11,int16,0.485,dataflow,inference,Chip,W,Hide,W,Hide,6/9/20,,https://cacm.acm.org/magazines/2016/11/209123-diannao-family/,﻿chen2016diannao
Institute for Computing Technology,PuDianNao,PuDianNao,1.06E+12,int16,0.596,dataflow,inference,Chip,SW,Hide,SW,Hide,6/9/20,,https://cacm.acm.org/magazines/2016/11/209123-diannao-family/;https://dl.acm.org/doi/10.1145/2775054.2694358,﻿chen2016diannao;liu2015pudiannao
Institute for Computing Technology,ShiDianNao,ShiDianNao,1.94E+11,int16,0.32,dataflow,inference,Chip,SW,Hide,SW,Hide,6/9/20,,https://cacm.acm.org/magazines/2016/11/209123-diannao-family/;https://doi.org/10.1145/2749469.2750389,﻿chen2016diannao;du2015shidiannao
Intel,Arria 10 1150,Arria,2.83E+14,fp16.32,85,FPGA,training,Chip,SW,,SW,,6/9/20,,https://arxiv.org/abs/1807.06434;https://www.nextplatform.com/2018/07/31/intel-fpga-architecture-focuses-on-deep-learning-inference/,abdelfattah2018dla;hemsoth2018intel
Intel,Mobileye EyeQ5,EyeQ5,1.20E+13,int8,5,dataflow,inference,Chip,SE,,NE,,7/13/21,Expected release in March 2021,https://www.blaize.com/wp-content/uploads/2020/09/Blaize-Ignites-Edge-AI-Performance.pdf,demler2020blaize
Intel,Movidius Myriad X,MovidiusX,1.00E+12,int16,2,manycore,inference,Chip,SE,Hide,SE,Hide,6/9/20,,https://www.extremetech.com/computing/254772-new-movidius-myriad-x-vpu-packs-custom-neural-compute-engine,hruska2017new
Intel,Xe-HPC,Intel-Xe-HPC,3.60E+14,fp16,600,GPU,training,Card,SE,,NE,,6/1/23,aka Ponte Vecchio,https://www.tomshardware.com/news/intel-xe-hpc-ponte-vecchio-examined;https://www.hpcwire.com/off-the-wire/intel-unveils-details-about-sapphire-rapids-cpu-ponte-vecchio-gpu-ipu/;https://www.tomshardware.com/news/intels-ponte-vecchio-smiles-for-the-camera,shilov2021intels;intel2021intel;shilov2022intels
Intel,Flex140,Flex140,1.05E+14,int8,75,GPU,inference,Card,SE,,NE,,7/31/23,,https://www.nextplatform.com/2022/10/04/different-gpu-horses-for-different-datacenter-courses/,morgan2022different
Intel,Flex170,Flex170,2.56E+14,int8,150,GPU,inference,Card,SE,,SE,,7/31/23,,https://www.nextplatform.com/2022/10/04/different-gpu-horses-for-different-datacenter-courses/,morgan2022different
Intel,Nervana Lake Crest,Nervana1,3.80E+13,fp32,210,manycore,training,Card,SE,Hide,SE,Hide,6/9/20,Hide,https://newsroom.intel.com/editorials/artificial-intelligence-requires-holistic-approach/,﻿rao2018beyond
Intel,Nervana Spring Crest,Nervana2,1.20E+14,fp16.32,210,manycore,inference,Card,SE,Hide,SE,Hide,6/9/20,Hide,https://newsroom.intel.com/editorials/artificial-intelligence-requires-holistic-approach/,﻿rao2018beyond
Intel,Xeon Platinum 8180,2xXeon8180,4.48E+12,fp32,205,multicore,training,Chip,SW,Hide,SW,Hide,6/14/20,,https://www.anandtech.com/show/14466/intel-xeon-cascade-lake-vs-nvidia-turing;http://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208180.html,degelas2019intel;cpuworld2020xeon8180
Intel,Xeon Platinum 8180,2xXeon8280,3.87E+13,int8,205,multicore,inference,Chip,SW,Hide,SW,Hide,6/14/20,,https://www.anandtech.com/show/14466/intel-xeon-cascade-lake-vs-nvidia-turing;http://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208280.html,degelas2019intel;cpuworld2020xeon8280
Kalray,Coolidge,Kalray,3.00E+12,fp16.32,20,manycore,inference,Chip,E,Hide,E,Hide,5/30/20,,https://www.european-processor-initiative.eu/dissemination-material/1259/;https://www.eenewsanalog.com/news/nxp-kalray-demo-coolidge-parallel-processor-bluebox,"dupont2019kalray, clarke2020nxp"
Kalray,Coolidge,Kalray,1.00E+12,fp32,20,manycore,inference,Chip,SE,Hide,SE,Hide,5/30/20,,https://www.european-processor-initiative.eu/dissemination-material/1259/;https://www.eenewsanalog.com/news/nxp-kalray-demo-coolidge-parallel-processor-bluebox,"dupont2019kalray, clarke2020nxp"
Kalray,Coolidge,Kalray,2.40E+13,int8.32,20,manycore,inference,Chip,NW,,NW,,5/30/20,,https://www.european-processor-initiative.eu/dissemination-material/1259/;https://www.eenewsanalog.com/news/nxp-kalray-demo-coolidge-parallel-processor-bluebox,"dupont2019kalray, clarke2020nxp"
Kneron,KL520 Neural Processing Unit,KL520,3.00E+11,int8,0.5,dataflow,inference,Chip,NW,Hide,NW,Hide,6/2/20,,https://www.eetasia.com/knerons-next-gen-edge-ai-chip-gets-40m-boost/,ward2020kneron
Kneron,KL720,KL720,1.40E+12,int8,1.556,dataflow,inference,Chip,SW,,SW,,6/2/21,,https://www.eetimes.com/kneron-attracts-strategic-investors/,ward2021kneron
Maxim,Max 78000,Maxim,5.60E+10,int8,0.028,dataflow,inference,Chip,SW,,SW,,7/10/22,,﻿https://www.eetimes.com/maxim-debuts-homegrown-ai-accelerator-in-latest-ulp-soc/;﻿https://www.linleygroup.com/newsletters/newsletter_detail.php?num=6274&year=2021&tag=3;﻿https://doi.org/10.1117/12.2622390,ward2020maxim;jani2021maxim;clay2022benchmarking
MemryX,MX3,MX3,5.00E+12,fp16,1.000,dataflow,inference,Chip,NW,,NE,,7/4/23,,https://www.eetimes.com/adding-low-power-ai-ml-interference-to-edge-devices/,leibson2023adding
Microsoft,Brainwave,Brainwave,2.00E+12,int8,150,dataflow,inference,Chip,NE,Hide,NE,Hide,6/13/20,,https://www.nextplatform.com/2017/08/24/drilling-microsofts-brainwave-soft-deep-leaning-chip/,morgan2017drilling
MIT,Eyeriss,Eyeriss,6.72E+10,int16,0.278,dataflow,inference,Chip,S,Hide,S,Hide,6/9/20,,https://doi.org/10.1109/MM.2017.265085944;https://doi.org/10.1109/JSSC.2016.2616357;https://doi.org/10.1109/JPROC.2017.2761740,chen2018eyeriss;chen2017eyeriss;sze2017efficient
MIT,Netcast,Netcast,1.00E+13,int8,0.001,dataflow,inference,Chip,NE,Hide,NE,Hide,5/4/22,Not truly embedded,https://arxiv.org/ftp/arxiv/papers/2203/2203.05466.pdf,sludds2022delocalized
Mythic,M1076,Mythic76,2.50E+13,analog,3,PIM,inference,Chip,NE,,SW,,6/30/21,,https://www.eetimes.com/mythic-resizes-its-analog-ai-chip/;https://www.nextplatform.com/2018/08/23/a-mythic-approach-to-deep-learning-inference/;https://medium.com/mythic-ai/mythic-hot-chips-2018-637dfb9e38b7,ward2021mythic;hemsoth2018mythic;fick2018mythic
Mythic,M1108,Mythic108,3.50E+13,analog,4,PIM,inference,Chip,NE,,NE,,6/30/21,,https://www.eetimes.com/mythic-resizes-its-analog-ai-chip/;https://www.nextplatform.com/2018/08/23/a-mythic-approach-to-deep-learning-inference/;https://medium.com/mythic-ai/mythic-hot-chips-2018-637dfb9e38b7,ward2021mythic;hemsoth2018mythic;fick2018mythic
NovuMind,NovuTensor,NovuMind,1.50E+13,int8,15,dataflow,inference,Chip,SE,,SE,,6/13/20,,https://moorinsightsstrategy.com/wp-content/uploads/2019/05/NovuMind-An-Early-Entrant-in-AI-Silicon-By-Moor-Insights-And-Strategy.pdf;https://www.eetimes.com/novuminds-ai-chip-sparks-controversy/,freund2019novumind;yoshida2018novumind
NVIDIA,Ampere A10,A10,1.25E+14,fp16.32,150,GPU,inference,Card,SW,,SW,,6/29/21,,https://www.nextplatform.com/2021/04/15/nvidia-rounds-out-ampere-lineup-with-two-new-accelerators/,morgan2021nvidia
NVIDIA,Ampere A100,A100,3.12E+14,fp16.32,400,GPU,training,Card,SE,,SE,,6/9/20,,https://devblogs.nvidia.com/nvidia-ampere-architecture-in-depth/,krashinsky2020nvidia
NVIDIA,Ampere A800,A800,2.18E+14,fp16.32,300,GPU,training,Card,SE,,NE,,8/1/23,,https://www.tomshardware.com/news/nvidia-a800-performance-revealed,shilov2023nvidias
NVIDIA,Ampere A30,A30,1.65E+14,fp16.32,165,GPU,inference,Card,NW,,NW,,6/29/21,,https://www.nextplatform.com/2021/04/15/nvidia-rounds-out-ampere-lineup-with-two-new-accelerators/,morgan2021nvidia
NVIDIA,Ampere A40,A40,1.50E+14,fp16.32,300,GPU,inference,Card,NE,,NE,,6/29/21,,https://www.nextplatform.com/2021/04/15/nvidia-rounds-out-ampere-lineup-with-two-new-accelerators/,morgan2021nvidia
NVIDIA,DGX Station,DGX-Station,4.80E+14,fp16.32,1500,GPU,training,System,SE,,SE,,6/9/20,,"https://www.tomshardware.com/news/nvidia-volta-v100-dgx-1-hgx-1,34380.html",alcorn2017nvidia
NVIDIA,DGX-1,DGX-1,9.00E+14,fp16.32,3500,GPU,training,System,SE,,SE,,6/9/20,,"https://www.tomshardware.com/news/nvidia-volta-v100-dgx-1-hgx-1,34380.html;https://www.anandtech.com/show/12587/nvidias-dgx2-sixteen-v100-gpus-30-tb-of-nvme-only-400k",alcorn2017nvidia;cutress2018nvidias
NVIDIA,DGX-2,DGX-2,1.92E+15,fp16.32,10000,GPU,training,System,NW,,NW,,6/9/20,,https://www.anandtech.com/show/12587/nvidias-dgx2-sixteen-v100-gpus-30-tb-of-nvme-only-400k,cutress2018nvidias
NVIDIA,DGX-A100,DGX-A100,5.00E+15,fp16.32,6500,GPU,training,System,NE,,NE,,6/14/20,,https://devblogs.nvidia.com/defining-ai-innovation-with-dgx-a100/,campa2020defining
NVIDIA,DGX-H100,DGX-H100,1.60E+16,fp16.32,10200,GPU,training,System,NW,,SE,,8/4/23,,https://wccftech.com/nvidia-unveils-hopper-gh100-powered-dgx-h100-dgx-pod-h100-h100-pcie-accelerators/,mujtaba2022nvidia
NVIDIA,H100,H100,1.00E+15,fp16.32,700,GPU,training,Card,SE,,SE,,7/5/22,Need to update when Hopper releases,https://www.anandtech.com/show/17327/nvidia-hopper-gpu-architecture-and-h100-accelerator-announced,smith2022nvidia
NVIDIA,Jetson AGX Xavier,XavierAGX,1.10E+13,fp16,30,GPU,inference,System,NE,,SE,,6/29/21,,https://www.anandtech.com/show/15070/nvidia-gives-jetson-xavier-a-trim-announces-nanosized-jetson-xavier-nx,smith2019nvidia
NVIDIA,Jetson AGX Xavier,XavierAGX,3.20E+13,int8,30,GPU,inference,System,SE,,SE,,6/29/21,,https://www.anandtech.com/show/15070/nvidia-gives-jetson-xavier-a-trim-announces-nanosized-jetson-xavier-nx,smith2019nvidia
NVIDIA,Jetson NX Orin,OrinNX,5.00E+13,int8,25,GPU,inference,System,SW,,SW,,7/10/22,,https://www.hothardware.com/news/nvidia-jetson-agx-orin;﻿https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin/,"funk2022nvidia,nvidia2022embedded"
NVIDIA,Jetson AGX Orin,OrinAGX,1.38E+14,int8,60,GPU,inference,System,SW,,SW,,7/10/22,,https://www.hothardware.com/news/nvidia-jetson-agx-orin;﻿https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin/,"funk2022nvidia,nvidia2022embedded"
NVIDIA,Jetson TX1,Jetson1,4.08E+11,fp16.32,11.7,GPU,inference,System,SW,,SE,,6/9/20,,https://devblogs.nvidia.com/jetson-tx2-delivers-twice-intelligence-edge/,franklin2017nvidia
