Company,Product,Label,PeakPerformance,Precision,Power,Technology,IorT,FormFactor,PlotLocation,Hide,Updated,Notes,ReferenceURL,Reference
ARM,Ethos N77,Ethos,4.10E+12,int8,0.8,dataflow,inference,Chip,NW,,6/13/20,,https://fuse.wikichip.org/news/3282/arm-ethos-is-for-ubiquitous-ai-at-the-edge/,schor2020arm
Axelera,Axelera Test Core,Axelera,3.91E+13,int8,2.79,dataflow,inference,Chip,NW,,7/9/22,Test chip,https://www.eetimes.com/axelera-demos-ai-test-chip-after-taping-out-in-four-months/,ward2022axelera
Baidu,Baidu Kunlun 818-300,Baidu,2.81E+14,int8,160,dataflow,training,Chip,S,,7/1/21,Baidu claims the FLOPs and power numbers in the zdnet article. The chip has been deployed in Baidu data centers as FPGAs and are being converted to ASICs. No release data has been mentioned in the press. ,https://doi.org/10.1109/ISSCC42613.2021.9366056;https://www.eetimes.com/baidu-accelerator-rises-in-ai/;https://www.zdnet.com/article/baidu-creates-kunlun-silicon-for-ai/,ouyang2021kunlun;merritt2018baidu;duckett2018baidu
Bitmain,BM1880,Bitmain,1.00E+12,int8,2.5,dataflow,inference,Chip,NE,,6/13/20,,https://www.linleygroup.com/newsletters/newsletter_detail.php?num=5975&year=2019&tag=3,wheeler2019bitmain
Blaize,El Cano,Blaize,1.60E+12,int8,7,dataflow,inference,Card,NE,,6/13/21,,https://www.blaize.com/wp-content/uploads/2020/09/Blaize-Ignites-Edge-AI-Performance.pdf,demler2020blaize
Cambricon,MLU100,Cambricon,6.40E+13,fp16,80,dataflow,training,Card,SW,Hide,6/2/20,,https://www.chinamoneynetwork.com/2018/05/04/chinese-ai-chip-maker-cambricon-unveils-new-cloud-based-smart-chip;https://www.anandtech.com/show/12815/cambricon-makers-of-huaweis-kirin-npu-ip-build-a-big-ai-chip-and-pcie-card,wu2018chinese;cutress2018cambricon
Cambricon,MLU100,Cambricon,1.28E+14,int8,80,dataflow,inference,Card,NW,Hide,6/2/20,,https://www.chinamoneynetwork.com/2018/05/04/chinese-ai-chip-maker-cambricon-unveils-new-cloud-based-smart-chip;https://www.anandtech.com/show/12815/cambricon-makers-of-huaweis-kirin-npu-ip-build-a-big-ai-chip-and-pcie-card,wu2018chinese;cutress2018cambricon
Canaan,Kendrite K210,Kendryte,2.30E+11,int8,0.3,CPU,inference,Chip,NW,,6/9/20,,https://www.linleygroup.com/newsletters/newsletter_detail.php?num=5992,gwennap2019kendryte
Cerebras,CS-1,CS-1,1.64E+15,fp16,15000,dataflow,training,System,SE,,6/11/20,Estimated peak,https://www.cerebras.net/introducing-the-cerebras-cs-1-the-industrys-fastest-artificial-intelligence-computer/,hock2019introducing
Cerebras,CS-2,CS-2,3.40E+15,fp16,23000,dataflow,training,System,SW,,5/24/21,Estimated peak,https://www.hpcwire.com/2021/04/20/cerebras-doubles-ai-performance-with-second-gen-7nm-wafer-scale-engine/,trader2021cerebras
Cornami,Cornami,Cornami,4.19E+14,fp16,30,dataflow,training,Chip,NW,,6/14/20,no peak,https://cornami.com/1416-2/,cornami2020cornami
Enflame,Cloudblazer T10,Enflame,8.00E+01,bf16,225,CPU,training,Card,NW,,6/13/21,,https://www.eenewsanalog.com/news/globalfoundries-aids-launch-chinese-ai-startup,clarke2019globalfoundries
Flex Logix,InferX X1,FlexLogix,7.64E+12,int8,13.5,dataflow,inference,Chip,N,Hide,6/12/20,,https://flex-logix.com/wp-content/uploads/2020/04/Accelerator-Evaluation-on-Real-Edge-Inference-Applications-04_03_2020.pdf,mehta2020performance
Google,TPU Edge,TPUedge,4.00E+12,int8,2,dataflow,inference,System,SE,,6/9/20,,https://aiyprojects.withgoogle.com/edge-tpu,tpu2019edge
Google,TPU1,TPU1,9.20E+13,int8,75,dataflow,inference,Chip,NW,,6/1/21,,https://doi.org/10.1145/3360307;https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/,jouppi2020domain;teich2018tearing
Google,TPU2,TPU2,4.50E+13,bf16.32,280,dataflow,training,Chip,SE,,6/1/21,,https://doi.org/10.1145/3360307;https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/,jouppi2020domain;teich2018tearing
Google,TPU3,TPU3,1.23E+14,bf16.32,450,dataflow,training,Chip,SE,,6/9/21,,https://doi.org/10.1145/3360307;https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/,jouppi2021ten;jouppi2020domain;teich2018tearing
Google,TPU4i,TPU4i,1.38E+14,bf16.32,175,dataflow,training,Chip,NE,,6/9/21,,https://doi.org/10.1109/ISCA52012.2021.00010,jouppi2021ten
Google,TPU4,TPU4,2.75E+14,bf16.32,192,dataflow,training,Chip,NE,,7/10/22,,https://www.hpcwire.com/2022/05/16/google-clouds-new-tpu-v4-ml-hub-packs-9-exaflops-of-ai/,peckham2022google
GraphCore,C2,GraphCore,1.25E+14,fp16.32,300,dataflow,training,Card,NE,,6/14/20,,https://www.linleygroup.com/newsletters/newsletter_detail.php?num=5992;https://www.graphcore.ai/posts/preliminary-ipu-benchmarks-providing-previously-unseen-performance-for-a-range-of-machine-learning-applications,gwennap2020groq;lacey2017preliminary
GraphCore,C2,GraphCoreNode,1.60E+15,fp16.32,2400,dataflow,training,System,SW,,6/14/20,,https://www.graphcore.ai/hubfs/Lead%20gen%20assets/DSS8440%20IPU%20Server%20White%20Paper_2020.pdf,graphcore2020dell
GraphCore,Colossus Mk2,GraphCore2,2.50E+14,bf16,300,dataflow,training,Card,SW,,7/10/22,,https://www.eetimes.com/graphcore-takes-on-nvidia-with-second-gen-ai-accelerator/,ward2020graphcore
GraphCore,Bow-2000,GraphCoreBow,3.50E+14,bf16,300,dataflow,training,Card,NE,,7/10/22,,https://www.tomshardware.com/news/graphcore-tsmc-bow-ipu-3d-wafer-on-wafer-processor,tyson2022graphcore
GreenWaves,GAP8,GAP8,2.27E+10,int8,0.1,dataflow,inference,Chip,NE,,7/12/21,,https://greenwaves-technologies.com/gap8_gap9/;https://www.eejournal.com/article/gap9-for-ml-at-the-edge/,greenwaves2020gap;turley2020gap9
GreenWaves,GAP9,GAP9,1.51E+11,int8,0.64,dataflow,inference,Chip,NE,,7/12/21,,https://greenwaves-technologies.com/gap8_gap9/;https://www.eejournal.com/article/gap9-for-ml-at-the-edge/,greenwaves2020gap;turley2020gap9
Groq,Groq Node,GroqNode,1.50E+15,fp16.32,3300,dataflow,training,System,SE,,7/6/21,,https://www.nextplatform.com/2020/09/29/groq-shares-recipe-for-tsp-nodes-systems/,hemsoth2020groq
Groq,Groq Node,GroqNode,6.00E+15,int8,3300,dataflow,inference,System,SW,,7/6/21,,https://www.nextplatform.com/2020/09/29/groq-shares-recipe-for-tsp-nodes-systems/,hemsoth2020groq
Groq,Tensor Streaming Processor,Groq,2.05E+14,fp16,300,dataflow,training,Card,SE,,5/19/20,,http://groq.com/wp-content/uploads/2020/04/Groq-Rocks-NNs-Linley-Group-MPR-2020Jan06.pdf;https://doi.org/10.1109/ISCA45697.2020.00023,gwennap2020groq;abts2020think
Groq,Tensor Streaming Processor,Groq,8.20E+14,int8,300,dataflow,inference,Card,SE,,5/19/20,,http://groq.com/wp-content/uploads/2020/04/Groq-Rocks-NNs-Linley-Group-MPR-2020Jan06.pdf;https://doi.org/10.1109/ISCA45697.2020.00023,gwennap2020groq;abts2020think
Gyrfalcon,Gyrfalcon,Gyrfalcon,2.80E+12,int8,0.224,PIM,inference,Chip,NW,,6/14/20,,https://www.eetimes.com/gyrfalcon-unveils-fourth-ai-accelerator-chip/,ward2019gyrfalcon
Gyrfalcon,Gyrfalcon,GyrfalconServer,2.15E+15,int8,900,PIM,inference,System,NW,,6/14/20,,https://www.hpcwire.com/off-the-wire/solidrun-gyrfalcon-develop-edge-optimized-ai-inference-server/,hpcwire2020solidrun
Habana,Gaudi,Gaudi,5.00E+13,fp16,200,dataflow,training,Card,SW,,6/14/20,,https://habana.ai/wp-content/uploads/2019/06/Habana-Offers-Gaudi-for-AI-Training.pdf;https://doi.org/10.1109/MM.2020.2975185,gwennap2019habanagaudi;medina2020habana
Habana,Goya HL-1000,Goya,1.00E+14,int8,150,dataflow,inference,Card,SE,,6/14/20,,https://habana.ai/wp-content/uploads/2019/06/Habana-Offers-Gaudi-for-AI-Training.pdf;https://doi.org/10.1109/MM.2020.2975185,gwennap2019habanagoya;medina2020habana
Hailo,Hailo,Hailo-8,2.69E+12,int8,9.3,dataflow,inference,Chip,SE,,6/14/20,no peak,https://www.eetimes.com/details-of-hailo-ai-edge-accelerator-emerge/,ward2019details
Horizon Robotics,Journey2,Journey2,4.00E+12,int8,2,dataflow,inference,Chip,N,,6/13/20,,https://en.horizon.ai/product/journey,horizon2020journey
Huawei HiSilicon,Ascend 310,Ascend-310,8.00E+12,fp16,8,dataflow,training,Chip,SW,Hide,5/19/20,,https://e.huawei.com/us/products/cloud-computing-dc/atlas/ascend-310,huawei2020ascend310
Huawei HiSilicon,Ascend 310,Ascend-310,1.60E+13,int8,8,dataflow,inference,Chip,SW,,5/19/20,,https://e.huawei.com/us/products/cloud-computing-dc/atlas/ascend-310,huawei2020ascend310
Huawei HiSilicon,Ascend 910,Ascend-910,5.12E+14,fp16,310,dataflow,training,Chip,NW,,5/19/20,,https://e.huawei.com/us/products/cloud-computing-dc/atlas/ascend-910,huawei2020ascend910
Huawei HiSilicon,Ascend 910,Ascend-910,5.12E+14,int8,310,dataflow,inference,Chip,NW,Hide,5/19/20,,https://e.huawei.com/us/products/cloud-computing-dc/atlas/ascend-910,huawei2020ascend910
IBM,TrueNorth,TrueNorth,1.89E+12,int8,0.5,neuromorphic,inference,System,SW,Hide,6/9/20,,https://www.top500.org/news/ibm-finds-killer-app-for-truenorth-neuromorphic-chip/;https://doi.org/10.1073/pnas.1604850113;https://doi.org/10.1109/TCAD.2015.2474396,_feldman2016ibm;esser2016convolutional;akopyan2015truenorth
IBM,TrueNorth,TrueNorthSys,1.89E+12,int8,44,neuromorphic,inference,System,SE,Hide,6/9/20,,https://www.top500.org/news/ibm-finds-killer-app-for-truenorth-neuromorphic-chip/;https://doi.org/10.1073/pnas.1604850113;https://doi.org/10.1109/TCAD.2015.2474396,_feldman2016ibm;esser2016convolutional;akopyan2015truenorth
IBM/NYU,NeuFlow,NeuFlow,3.20E+11,int16,10,dataflow,inference,Chip,SE,Hide,6/15/20,,https://doi.org/10.1109/CVPRW.2011.5981829,farabet2011neuflow
Institute for Computing Technology,DaDianNao,DaDianNao,5.59E+12,int16,15.97,dataflow,inference,Chip,SE,Hide,6/9/20,,https://cacm.acm.org/magazines/2016/11/209123-diannao-family/;https://doi.org/10.1109/MICRO.2014.58,_chen2016diannao;chen2014dadiannao
Institute for Computing Technology,DianNao,DianNao,4.52E+11,int16,0.485,dataflow,inference,Chip,W,Hide,6/9/20,,https://cacm.acm.org/magazines/2016/11/209123-diannao-family/,_chen2016diannao
Institute for Computing Technology,PuDianNao,PuDianNao,1.06E+12,int16,0.596,dataflow,inference,Chip,SW,Hide,6/9/20,,https://cacm.acm.org/magazines/2016/11/209123-diannao-family/;https://dl.acm.org/doi/10.1145/2775054.2694358,_chen2016diannao;liu2015pudiannao
Institute for Computing Technology,ShiDianNao,ShiDianNao,1.94E+11,int16,0.32,dataflow,inference,Chip,SW,Hide,6/9/20,,https://cacm.acm.org/magazines/2016/11/209123-diannao-family/;https://doi.org/10.1145/2749469.2750389,_chen2016diannao;du2015shidiannao
Intel,Arria 10 1150,Arria,2.83E+14,fp16.32,85,FPGA,training,Chip,SW,,6/9/20,,https://arxiv.org/abs/1807.06434;https://www.nextplatform.com/2018/07/31/intel-fpga-architecture-focuses-on-deep-learning-inference/,abdelfattah2018dla;hemsoth2018intel
Intel,Mobileye EyeQ5,EyeQ5,1.20E+13,int8,5,dataflow,inference,Chip,NE,,7/13/21,Expected release in March 2021,https://www.blaize.com/wp-content/uploads/2020/09/Blaize-Ignites-Edge-AI-Performance.pdf,demler2020blaize
Intel,Movidius Myriad X,MovidiusX,1.00E+12,int16,2,manycore,inference,Chip,SE,Hide,6/9/20,,https://www.extremetech.com/computing/254772-new-movidius-myriad-x-vpu-packs-custom-neural-compute-engine,hruska2017new
Intel,Nervana Lake Crest,Nervana1,3.80E+13,fp32,210,manycore,training,Card,SE,Hide,6/9/20,Hide,https://newsroom.intel.com/editorials/artificial-intelligence-requires-holistic-approach/,_rao2018beyond
Intel,Nervana Spring Crest,Nervana2,1.20E+14,fp16.32,210,manycore,inference,Card,SE,Hide,6/9/20,Hide,https://newsroom.intel.com/editorials/artificial-intelligence-requires-holistic-approach/,_rao2018beyond
Intel,Xeon Platinum 8180,2xXeon8180,4.48E+12,fp32,205,multicore,training,Chip,SW,Hide,6/14/20,,https://www.anandtech.com/show/14466/intel-xeon-cascade-lake-vs-nvidia-turing;http://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208180.html,degelas2019intel;cpuworld2020xeon8180
Intel,Xeon Platinum 8180,2xXeon8280,3.87E+13,int8,205,multicore,inference,Chip,SW,Hide,6/14/20,,https://www.anandtech.com/show/14466/intel-xeon-cascade-lake-vs-nvidia-turing;http://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208280.html,degelas2019intel;cpuworld2020xeon8280
Kalray,Coolidge,Kalray,3.00E+12,fp16.32,20,manycore,inference,Chip,E,Hide,5/30/20,,https://www.european-processor-initiative.eu/dissemination-material/1259/;https://www.eenewsanalog.com/news/nxp-kalray-demo-coolidge-parallel-processor-bluebox,"dupont2019kalray, clarke2020nxp"
Kalray,Coolidge,Kalray,1.00E+12,fp32,20,manycore,inference,Chip,SE,Hide,5/30/20,,https://www.european-processor-initiative.eu/dissemination-material/1259/;https://www.eenewsanalog.com/news/nxp-kalray-demo-coolidge-parallel-processor-bluebox,"dupont2019kalray, clarke2020nxp"
Kalray,Coolidge,Kalray,2.40E+13,int8.32,20,manycore,inference,Chip,NW,,5/30/20,,https://www.european-processor-initiative.eu/dissemination-material/1259/;https://www.eenewsanalog.com/news/nxp-kalray-demo-coolidge-parallel-processor-bluebox,"dupont2019kalray, clarke2020nxp"
Kneron,KL520 Neural Processing Unit,KL520,3.00E+11,int8,0.5,dataflow,inference,Chip,NW,Hide,6/2/20,,https://www.eetasia.com/knerons-next-gen-edge-ai-chip-gets-40m-boost/,ward2020kneron
Kneron,KL720,KL720,1.40E+12,int8,1.556,dataflow,inference,Chip,SW,,6/2/21,,https://www.eetimes.com/kneron-attracts-strategic-investors/,ward2021kneron
Maxim,Max 78000,Maxim,5.60E+10,int8,0.028,dataflow,inference,Chip,SW,,7/10/22,,https://www.eetimes.com/maxim-debuts-homegrown-ai-accelerator-in-latest-ulp-soc/;_https://www.linleygroup.com/newsletters/newsletter_detail.php?num=6274&year=2021&tag=3;_https://doi.org/10.1117/12.2622390,ward2020maxim;jani2021maxim;clay2022benchmarking
Microsoft,Brainwave,Brainwave,2.00E+12,int8,150,dataflow,inference,Chip,NE,Hide,6/13/20,,https://www.nextplatform.com/2017/08/24/drilling-microsofts-brainwave-soft-deep-leaning-chip/,morgan2017drilling
MIT,Eyeriss,Eyeriss,6.72E+10,int16,0.278,dataflow,inference,Chip,S,Hide,6/9/20,,https://doi.org/10.1109/MM.2017.265085944;https://doi.org/10.1109/JSSC.2016.2616357;https://doi.org/10.1109/JPROC.2017.2761740,chen2018eyeriss;chen2017eyeriss;sze2017efficient
MIT,Netcast,Netcast,1.00E+13,int8,0.001,dataflow,inference,Chip,NE,Hide,5/4/22,Not truly embedded,https://arxiv.org/ftp/arxiv/papers/2203/2203.05466.pdf,sludds2022delocalized
Mythic,M1076,Mythic76,2.50E+13,analog,3,PIM,inference,Chip,SW,,6/30/21,,https://www.eetimes.com/mythic-resizes-its-analog-ai-chip/;https://www.nextplatform.com/2018/08/23/a-mythic-approach-to-deep-learning-inference/;https://medium.com/mythic-ai/mythic-hot-chips-2018-637dfb9e38b7,ward2021mythic;hemsoth2018mythic;fick2018mythic
Mythic,M1108,Mythic108,3.50E+13,analog,4,PIM,inference,Chip,NE,,6/30/21,,https://www.eetimes.com/mythic-resizes-its-analog-ai-chip/;https://www.nextplatform.com/2018/08/23/a-mythic-approach-to-deep-learning-inference/;https://medium.com/mythic-ai/mythic-hot-chips-2018-637dfb9e38b7,ward2021mythic;hemsoth2018mythic;fick2018mythic
NovuMind,NovuTensor,NovuMind,1.50E+13,int8,15,dataflow,inference,Chip,SE,,6/13/20,,https://moorinsightsstrategy.com/wp-content/uploads/2019/05/NovuMind-An-Early-Entrant-in-AI-Silicon-By-Moor-Insights-And-Strategy.pdf;https://www.eetimes.com/novuminds-ai-chip-sparks-controversy/,freund2019novumind;yoshida2018novumind
NVIDIA,Ampere A10,A10,1.25E+14,fp16.32,150,GPU,inference,Card,SW,,6/29/21,,https://www.nextplatform.com/2021/04/15/nvidia-rounds-out-ampere-lineup-with-two-new-accelerators/,morgan2021nvidia
NVIDIA,Ampere A100,A100,3.12E+14,fp16.32,400,GPU,training,Card,SE,,6/9/20,,https://devblogs.nvidia.com/nvidia-ampere-architecture-in-depth/,krashinsky2020nvidia
NVIDIA,Ampere A30,A30,1.65E+14,fp16.32,165,GPU,inference,Card,NW,,6/29/21,,https://www.nextplatform.com/2021/04/15/nvidia-rounds-out-ampere-lineup-with-two-new-accelerators/,morgan2021nvidia
NVIDIA,Ampere A40,A40,1.50E+14,fp16.32,300,GPU,inference,Card,NE,,6/29/21,,https://www.nextplatform.com/2021/04/15/nvidia-rounds-out-ampere-lineup-with-two-new-accelerators/,morgan2021nvidia
NVIDIA,DGX Station,DGX-Station,4.80E+14,fp16.32,1500,GPU,training,System,SE,,6/9/20,,"https://www.tomshardware.com/news/nvidia-volta-v100-dgx-1-hgx-1,34380.html",alcorn2017nvidia
NVIDIA,DGX-1,DGX-1,9.00E+14,fp16.32,3500,GPU,training,System,SE,,6/9/20,,"https://www.tomshardware.com/news/nvidia-volta-v100-dgx-1-hgx-1,34380.html;https://www.anandtech.com/show/12587/nvidias-dgx2-sixteen-v100-gpus-30-tb-of-nvme-only-400k",alcorn2017nvidia;cutress2018nvidias
NVIDIA,DGX-2,DGX-2,1.92E+15,fp16.32,10000,GPU,training,System,NW,,6/9/20,,https://www.anandtech.com/show/12587/nvidias-dgx2-sixteen-v100-gpus-30-tb-of-nvme-only-400k,cutress2018nvidias
NVIDIA,DGX-A100,DGX-A100,5.00E+15,fp16.32,6500,GPU,training,System,NE,,6/14/20,,https://devblogs.nvidia.com/defining-ai-innovation-with-dgx-a100/,campa2020defining
NVIDIA,H100,H100,1.00E+15,fp16.32,700,GPU,training,Card,SE,,7/5/22,Need to update when Hopper releases,https://www.anandtech.com/show/17327/nvidia-hopper-gpu-architecture-and-h100-accelerator-announced,smith2022nvidia
NVIDIA,Jetson AGX Xavier,XavierAGX,1.10E+13,fp16,30,GPU,inference,System,NE,,6/29/21,,https://www.anandtech.com/show/15070/nvidia-gives-jetson-xavier-a-trim-announces-nanosized-jetson-xavier-nx,smith2019nvidia
NVIDIA,Jetson AGX Xavier,XavierAGX,3.20E+13,int8,30,GPU,inference,System,SE,,6/29/21,,https://www.anandtech.com/show/15070/nvidia-gives-jetson-xavier-a-trim-announces-nanosized-jetson-xavier-nx,smith2019nvidia
NVIDIA,Jetson NX Orin,OrinNX,5.00E+13,int8,25,GPU,inference,System,SW,,7/10/22,,https://www.hothardware.com/news/nvidia-jetson-agx-orin;_https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin/,"funk2022nvidia,nvidia2022embedded"
NVIDIA,Jetson AGX Orin,OrinAGX,1.38E+14,int8,60,GPU,inference,System,SW,,7/10/22,,https://www.hothardware.com/news/nvidia-jetson-agx-orin;_https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin/,"funk2022nvidia,nvidia2022embedded"
NVIDIA,Jetson TX1,Jetson1,4.08E+11,fp16.32,11.7,GPU,inference,System,SW,,6/9/20,,https://devblogs.nvidia.com/jetson-tx2-delivers-twice-intelligence-edge/,franklin2017nvidia
NVIDIA,Jetson TX2,Jetson2,5.80E+11,fp16.32,12.8,GPU,inference,System,SE,,6/9/20,,https://devblogs.nvidia.com/jetson-tx2-delivers-twice-intelligence-edge/,franklin2017nvidia
NVIDIA,Jetson Xavier NX,XavierNX,6.00E+12,fp16,15,GPU,inference,System,SE,,6/29/21,,https://www.anandtech.com/show/15070/nvidia-gives-jetson-xavier-a-trim-announces-nanosized-jetson-xavier-nx,smith2019nvidia
NVIDIA,Jetson Xavier NX,XavierNX,2.10E+13,int8,15,GPU,inference,System,SE,,6/29/21,,https://www.anandtech.com/show/15070/nvidia-gives-jetson-xavier-a-trim-announces-nanosized-jetson-xavier-nx,smith2019nvidia
NVIDIA,DRIVE AGX L2,AGX-L2,2.00E+14,int8,45,GPU,inference,System,SE,,7/9/22,,https://hothardware.com/news/nvidia-drive-agx-pegasus-orin-ampere-next-gen-autonomous-cars,hill2020nvidia
NVIDIA,DRIVE AGX L5,AGX-L5,2.00E+15,int8,800,GPU,inference,System,SE,,7/9/22,,https://hothardware.com/news/nvidia-drive-agx-pegasus-orin-ampere-next-gen-autonomous-cars,hill2020nvidia
NVIDIA,Pascal P100,P100,2.12E+13,fp16.32,300,GPU,training,Card,SE,,6/29/21,,https://www.nvidia.com/en-us/data-center/tesla-p100/;https://www.anandtech.com/show/12809/16gb-nvidia-tesla-v100-gets-reprieve-remains-in-production,pascal2018nvidia;smith201816gb
NVIDIA,T4,T4,1.31E+14,int8,150,GPU,inference,Card,NW,,6/9/20,,https://devblogs.nvidia.com/nvidia-turing-architecture-in-depth/,kilgariff2018nvidia
NVIDIA,Volta V100,V100,1.25E+14,fp16.32,300,GPU,training,Card,SE,,6/9/20,,https://www.nvidia.com/en-us/data-center/tesla-v100/;https://www.anandtech.com/show/12809/16gb-nvidia-tesla-v100-gets-reprieve-remains-in-production,volta2019nvidia;smith201816gb
Perceive,Ergo,Perceive,4.00E+12,int8,7.27E-02,dataflow,inference,Chip,NW,,6/2/20,concurrent low-power video and audio processing,https://www.forbes.com/sites/tiriasresearch/2020/04/06/perceive-exits-stealth-with-super-efficient-machine-learning-chip-for-smarter-devices/#1b25ab646d9c,mcgregor2020perceive
PEZY Computing,PEZY-SC2,PEZY-SC2,8.19E+12,fp32,546.13,manycore,training,System,SE,Hide,6/2/20,,https://fuse.wikichip.org/news/191/the-2048-core-pezy-sc2-sets-a-green500-record/,schor2017pezy
Preferred Networks,MN-3,Preferred-MN-3,5.24E+02,fp16,500,multicore,training,Card,SE,,6/2/20,,https://projects.preferred.jp/mn-core/en/;https://www.anandtech.com/show/15177/preferred-networks-a-500-w-custom-pcie-card-using-3000-mm2-silicon,"preferred2020mncore, cutress2019preferred"
Quadric,q1-64,Quadric,6.24E+12,int8,12,dataflow,inference,Chip,SW,,6/13/20,no peak,https://quadric.io/supercomputing.pdf,firu2019quadric
Qualcomm,Cloud AI 100,Qcomm,4.00E+14,int8,75,dataflow,inference,Card,NE,,7/1/21,,https://www.eetimes.com/qualcomm-cloud-ai-100-promises-impressive-performance-per-watt-for-near-edge-ai/;https://www.eetimes.com/qualcomm-targets-ai-inferencing-in-the-cloud/#,ward2020qualcomm;mcgrath2019qualcomm
Rockchip,RK3399Pro,RK3399Pro,2.40E+12,int8,3,dataflow,inference,Chip,SW,,6/9/20,,https://www.rock-chips.com/a/en/News/Press_Releases/2018/0108/869.html,rockchip2018rockchip
SiMa.ai,SiMa.ai,SiMa.ai,9.12E+12,int8,4,dataflow,inference,Chip,SW,,6/14/20,no peak,https://www.linleygroup.com/uploads/sima-machine-learning-moves-to-the-edge-wp.pdf,gwennap2020machine
Stanford,EIE,EIE,1.02E+11,int16,0.6,dataflow,inference,Chip,S,Hide,6/15/20,,http://ieeexplore.ieee.org/document/7551397/,han2016eie
Stanford,TETRIS,Tetris,1.28E+11,int16,8.42,dataflow,inference,Chip,N,Hide,6/15/20,,https://dl.acm.org/doi/10.1145/3093337.3037702,gao2017tetris
Syntiant,NDP101,Syntiant,2.00E+11,int4.8,1.00E-02,PIM,inference,Chip,SE,,6/2/20,"4-bit weights, 8-bit activations",https://www.eetimes.com/tech-heavyweights-back-ai-chip-startup/;https://www.eetimes.com/document.asp?doc_id=1334301,mcgrath2018tech;merritt2018syntiant
Tachyum,Prodigy,Tachyum,1.20E+16,fp16.32,9.50E+02,CPU,training,Chip,NE,,7/6/22,,https://www.tomshardware.com/news/tachyum-teases-128-core-cpu-57-ghz-950w-16-ddr5-channels,shilov2022tachyum
Tenstorrent,Tenstorrent,Tenstorrent,3.68E+14,int8,75,multicore,inference,Card,SW,,6/13/20,,https://www.tenstorrent.com/wp-content/uploads/2020/04/Tenstorrent-Scales-AI-Performance.pdf,gwennap2020tenstorrent
Tesla,Tesla Full Self-Driving Computer,Tesla,7.20E+13,int8,72,dataflow,inference,System,NW,,6/9/20,,https://doi.org/10.1109/MM.2020.2975764;https://en.wikichip.org/wiki/tesla_(car_company)/fsd_chip,talpes2020compute;wikichip2020fsd
